PRDKEY;YEAR;MONTH;INDICODECR;COICOP;DESCRIZIONE;MARCA;FORMATO;MERCATO;FAMIGLIA;EAN;TURNOVERCURR;QUANTITYCURR;PRICECURR;COUNTPDVCURR;TURNOVERPREV;QUANTITYPREV;PRICEPREV;COUNTPDVPREV;VTURNOVER;VPRICE
1096502;2020;5;01020501;01.1.8.3.0.00;WITOR'S WITOR'S NOBIO OVE UNI MINI CREMA LATTE LATTE RIPIENI SAC 1 01000.0 GR;WITOR'S;1000GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8003535007249;2625.97;1121.0;2.34;109;10541.79;2522.0;4.18;242;-75.08990408649764;-43.957839523770794
1096598;2020;5;01020501;01.1.8.3.0.00;WITOR'S WITOR'S NOBIO OVE UNI MINI CREMA LATTE LATTE RIPIENI SAC 1 00500.0 GR;WITOR'S;500GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8003535007201;2007.68;1119.0;1.79;168;11541.84;4282.0;2.7;422;-82.60519986414644;-33.43651994483921
11406745;2020;5;01020304;01.1.8.3.0.00;HARIBO HARIBO NOBIO OVETTI CONFETTATI BUNTE KNUSPER-EIER SACCHETTO 01 0090.0 GR;HARIBO;90GR;Altri Fuori Pasto Dolci Bocconcini Conf;ALTRI FUORI PASTO DOLCI;9002975833585;10.24;19.0;0.54;3;174.31;205.0;0.85;21;-94.1254087545178;-36.6162523513764
11915644;2020;5;01170602;01.1.9.9.0.00;PL PL STD PL 01 BUDINO 2 C/ZUCC PREBUD STD 00200.0 C.G. GR CREME CARAMEL NOBIO PL 02.00;AUCHAN;200GR;Preparati per Dessert Specialita;PREPARATI PER DESSERT;8005476598077;8.8;13.0;0.68;4;33.1;33.0;1.0;129;-73.41389728096676;-32.51220079014641
12264675;2020;5;04021107;01.1.7.2.0.00;EST MAGE ZUCCHINE FETTE STD 1 0450 GR NOBIO;MAGE;450GR;Surg Vegetali Naturali/Frutta - Altri Vegetali Naturali;SURG VEGETALI NATURALI/FRUTTA;8011386824366;38.17;23.0;1.66;1;612.56;209.0;2.93;21;-93.76877367115058;-43.37711727262919
20867382;2020;5;01020501;01.1.8.3.0.00;VENEZIA DOLCERIE VENEZIANE NOBIO OVE UNI PRIMAVERA CREMA NOC CER LATTE RIPIENI CEST 1 00250.0 GR;DOLCERIE VENEZIANE;250GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8002749560663;62.46;18.0;3.47;7;14516.24;1417.0;10.24;281;-99.56972328922642;-66.1276611574347
22076394;2020;5;01020501;01.1.8.3.0.00;VERGANI CHACAO NOBIO OVE UNI STD MISTO LATTE RIPIENI BUS 1 00450.0 GR;CHACAO;450GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8002325446206;342.15;522.0;0.66;39;1926.55;889.0;2.17;90;-82.24027406503853;-69.75402996900242
23810870;2020;5;01020501;01.1.8.3.0.00;LINDT LINDOR NOBIO OVE UNI STD LATTE LATTE RIPIENI SAC 1 00180.0 GR;LINDOR;180GR;Ovetti Pieni o Ripieni Latte (Ciocc. al);OVETTI PIENI O RIPIENI;8003340049427;21942.07;11119.0;1.97;583;185753.04;64054.0;2.9;1978;-88.1875042260412;-31.95093045191501
23923997;2020;5;01020304;01.1.8.3.0.00;CIDNEO CIDNEO NOBIO OVETTI CONFETTATI STD SACCHETTO 01 0040.0 GR;CIDNEO;40GR;Altri Fuori Pasto Dolci Bocconcini Conf;ALTRI FUORI PASTO DOLCI;8000038123124;60.55;47.0;1.29;9;1106.98;417.0;2.65;51;-94.53016314657899;-51.4697453643284
23924126;2020;5;01020801;01.1.8.3.0.00;CARAMELLAMANIA MANIA NOBIO OVE OLD ENGLAND LATTE CREMA NOCC.CER CONF.REG. 1 00050.0 GR;MANIA;50GR;Praline - Cioccolatini Impulso inf 70 gr;PRALINE e CIOCCOLATINI;8016531148694;96.2;73.0;1.32;15;5241.71;1816.0;2.89;157;-98.1647210547703;-54.34429363647746
