"FILE";"ROW";"PRDKEY";"YEAR";"MONTH";"INDICODECR";"COICOP";"DESCRIZIONE";"MARCA";"FORMATO";"MERCATO";"FAMIGLIA";"EAN";"TURNOVERCURR";"QUANTITYCURR";"PRICECURR";"COUNTPDVCURR";"TURNOVERPREV";"QUANTITYPREV";"PRICEPREV";"COUNTPDVPREV";"VTURNOVER";"VPRICE";"DESC";"DESCRIZIONE1";"UNITA";"QUANTITA";"UNITA.QUANTITA";"fm.d"
"A";"130";"8174586";"2020";"5";"02010406";"01.2.2.1.0.00";"PL PL STD TAVOLA MINERALE NO GAS PLAS 01 150.0 CL NOBIO PL";"SIMPLY MARKET";"1500ML";"Acqua Non Gassata 101-150 CL";"ACQUA NON GASSATA";"8033209004489";"3.98";"18";"0.22";"2";"16.34";"48";"0.34";"6";"-75.6425948592411";"-35.046919624643";"PL PL STD TAVOLA MINERALE NO GAS PLAS 01 150.0 CL NOBIO PL";"PL PL STD TAVOLA MINERALE NO GAS PLAS 01 150.0 CL NOBIO PL";"ML";"1500";"ML|1500";0.988019092182695
"B";"83212";"40135145";"2020";"5";"02010406";"01.2.2.1.0.00";"S.BENEDETTO S.BENEDETTO PURA DI ROCCIA TAVOLA MINERALE NO GAS PLAS 06 125.0 CL NOBIO";"S.BENEDETTO";"1250ML";"Acqua Non Gassata 101-150 CL";"ACQUA NON GASSATA";"8023263000503";"1659.97";"828";"2";"93";"1644.69";"843";"1.95";"128";"0.929050459357083";"2.75747528651935";"  PURA DI ROCCIA TAVOLA MINERALE NO GAS PLAS 06 125.0 CL NOBIO";"S.BENEDETTO S.BENEDETTO PURA DI ROCCIA TAVOLA MINERALE NO GAS PLAS 06 125.0 CL NOBIO";"ML";"1250";"ML|1250";0.988019092182695
"A";"124";"55539657";"2020";"5";"03060106";"01.1.2.7.2.00";"DEL ZOPPO DEL ZOPPO NOBIO FAMIGLIA WAGYU BRESAOLA FETTE PUNTA D'ANCA 1 080 GR A.M.";"DEL ZOPPO";"80GR";"Affettati Bresaola";"AFFETTATI";"8010995001397";"84.67";"25";"3.39";"6";"385.91";"79";"4.88";"25";"-78.0596512140136";"-30.6684978362831";"  NOBIO FAMIGLIA WAGYU BRESAOLA FETTE PUNTA D'ANCA 1 080 GR A.M.";"DEL ZOPPO DEL ZOPPO NOBIO FAMIGLIA WAGYU BRESAOLA FETTE PUNTA D'ANCA 1 080 GR A.M.";"GR";"80";"GR|80";0.87875863867179
"B";"126112";"23795859";"2020";"5";"03060106";"01.1.2.7.2.00";"DEL ZOPPO DEL ZOPPO NOBIO FAMIGLIA STD BRESAOLA FETTE PUNTA D'ANCA VALTELLINA 1 080 GR A.M.";"DEL ZOPPO";"80GR";"Affettati Bresaola";"AFFETTATI";"8010995000260";"16850.44";"4529";"3.72";"48";"12527.97";"3272";"3.83";"42";"34.5025570782816";"-2.82791637002925";"  NOBIO FAMIGLIA STD BRESAOLA FETTE PUNTA D'ANCA VALTELLINA 1 080 GR A.M.";"DEL ZOPPO DEL ZOPPO NOBIO FAMIGLIA STD BRESAOLA FETTE PUNTA D'ANCA VALTELLINA 1 080 GR A.M.";"GR";"80";"GR|80";0.87875863867179
"A";"111";"44858515";"2020";"5";"03060102";"01.1.2.7.2.00";"ROVAGNATI ROVAGNATI NOBIO FAMIGLIA SNELLO GUSTO&BENESS. COTTO FETTE NORM 1 110 GR A.M.";"ROVAGNATI";"110GR";"Affettati Prosc. Cotto";"AFFETTATI";"8007141509739";"11712.01";"6797";"1.72";"143";"50996.77";"18713";"2.73";"2077";"-77.0338199850696";"-36.7712039694878";"  NOBIO FAMIGLIA SNELLO GUSTO&BENESS. COTTO FETTE NORM 1 110 GR A.M.";"ROVAGNATI ROVAGNATI NOBIO FAMIGLIA SNELLO GUSTO&BENESS. COTTO FETTE NORM 1 110 GR A.M.";"GR";"110";"GR|110";0.999999999965535
"B";"153866";"55009479";"2020";"5";"03060102";"01.1.2.7.2.00";"ROVAGNATI ROVAGNATI NOBIO FAMIGLIA SNELLO GUSTO&BENESS. COTTO FETTE ALLE ERBE 1 110 GR A.M.";"ROVAGNATI";"110GR";"Affettati Prosc. Cotto";"AFFETTATI";"8007141512081";"9140.43";"3390";"2.7";"92";"6756.88";"2465";"2.74";"151";"35.2758965676466";"-1.63566813001508";"  NOBIO FAMIGLIA SNELLO GUSTO&BENESS. COTTO FETTE ALLE ERBE 1 110 GR A.M.";"ROVAGNATI ROVAGNATI NOBIO FAMIGLIA SNELLO GUSTO&BENESS. COTTO FETTE ALLE ERBE 1 110 GR A.M.";"GR";"110";"GR|110";0.999999999965535
"A";"93";"38466012";"2020";"5";"03060104";"01.1.2.7.2.00";"SAN VINCENZO SAN VINCENZO NOBIO LUCANA BIANCA SOPPRESSATA FAMIGLIA SALAME FETTE 1 080 GR A.M.";"SAN VINCENZO";"80GR";"Affettati Salame";"AFFETTATI";"8020263007341";"46.05";"41";"1.12";"3";"164.08";"87";"1.89";"9";"-71.934422233057";"-40.446213031121";"  NOBIO LUCANA BIANCA SOPPRESSATA FAMIGLIA SALAME FETTE 1 080 GR A.M.";"SAN VINCENZO SAN VINCENZO NOBIO LUCANA BIANCA SOPPRESSATA FAMIGLIA SALAME FETTE 1 080 GR A.M.";"GR";"80";"GR|80";0.999999992933191
"B";"143866";"44185762";"2020";"5";"03060104";"01.1.2.7.2.00";"SAN VINCENZO SAN VINCENZO NOBIO STD SPIANATA PICCANTE FAMIGLIA SALAME FETTE 1 080 GR A.M.";"SAN VINCENZO";"80GR";"Affettati Salame";"AFFETTATI";"8020263007488";"2685.6";"1000";"2.69";"12";"2045.88";"763";"2.68";"14";"31.2686961112089";"0.15801513285237";"  NOBIO STD SPIANATA PICCANTE FAMIGLIA SALAME FETTE 1 080 GR A.M.";"SAN VINCENZO SAN VINCENZO NOBIO STD SPIANATA PICCANTE FAMIGLIA SALAME FETTE 1 080 GR A.M.";"GR";"80";"GR|80";0.999999992933191
"A";"40";"46458158";"2020";"5";"03060104";"01.1.2.7.2.00";"PL PL NOBIO STD NORM FAMIGLIA SALAME FETTE 1 080 GR PL A.M.";"PENNY MARKET";"80GR";"Affettati Salame";"AFFETTATI";"4388860530650";"42.06";"35";"1.2";"12";"705.82";"386";"1.83";"128";"-94.0409736193364";"-34.2804519161097";"PL PL NOBIO STD NORM FAMIGLIA SALAME FETTE 1 080 GR PL A.M.";"PL PL NOBIO STD NORM FAMIGLIA SALAME FETTE 1 080 GR PL A.M.";"GR";"80";"GR|80";0.999999908652343
"B";"37121";"47723281";"2020";"5";"03060104";"01.1.2.7.2.00";"PL PL NOBIO STD NORM FAMIGLIA SALAME FETTE 1 080 GR PL A.M.";"BENNET";"80GR";"Affettati Salame";"AFFETTATI";"8019514075154";"1940.54";"1091";"1.78";"38";"1628.77";"919";"1.77";"38";"19.1414380176452";"0.358369879208024";"PL PL NOBIO STD NORM FAMIGLIA SALAME FETTE 1 080 GR PL A.M.";"PL PL NOBIO STD NORM FAMIGLIA SALAME FETTE 1 080 GR PL A.M.";"GR";"80";"GR|80";0.999999908652343
